nome,link
National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for United States,https://fred.stlouisfed.org/series/USAGDPDEFAISMEI
Real Gross Domestic Product,https://fred.stlouisfed.org/series/GDPC1
Real gross domestic product per capita,https://fred.stlouisfed.org/series/A939RX0Q048SBEA
Gross Domestic Product,https://fred.stlouisfed.org/series/GDP
Contributions to percent change in real gross domestic product: Gross private domestic investment: Change in private inventories,https://fred.stlouisfed.org/series/CPGDPAI
Contributions to percent change in real gross domestic product: Gross private domestic investment: Change in private inventories,        https://fred.stlouisfed.org/series/DPCERY2Q224SBEA
 Contributions to percent change in real gross domestic product: Gross private domestic investment: Change in private inventories,https://fred.stlouisfed.org/series/A014RY2Q224SBEA
" Inflation, consumer prices for the United States",https://fred.stlouisfed.org/series/FPCPITOTLZGUSA
 Federal Debt: Total Public Debt,https://fred.stlouisfed.org/series/GFDEBTN
 Federal Debt: Total Public Debt as Percent of Gross Domestic Product,https://fred.stlouisfed.org/series/GFDEGDQ188S 
" Interest Rates, Discount Rate for United States",https://fred.stlouisfed.org/series/INTDSRUSM193N
 Federal Funds Effective Rate ,https://fred.stlouisfed.org/series/DFF 
M2,https://fred.stlouisfed.org/series/WM2NS 
M3,https://fred.stlouisfed.org/series/MABMM301USM189S
M1,https://fred.stlouisfed.org/series/M2REAL
M1,https://fred.stlouisfed.org/series/M1SL
 Federal Debt: Total Public Debt as Percent of Gross Domestic Product ,https://fred.stlouisfed.org/series/GFDEGDQ188S
Producer Price Index by Commodity: Retail Trade Services: Food and Alcohol Retailing,https://fred.stlouisfed.org/series/PCU311311
Producer Price Index by Commodity: Retail Trade Services: Food and Alcohol Retailing,https://fred.stlouisfed.org/series/PFOODINDEXM
Producer Price Index by Commodity: Retail Trade Services: Food and Alcohol Retailing,https://fred.stlouisfed.org/series/CPIUFDSL
Producer Price Index by Commodity: Retail Trade Services: Food and Alcohol Retailing,https://fred.stlouisfed.org/series/WPS5811
